;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Инф баз. (208с)/Инф Т. (204с)/Инф прог. (205c);Инф баз. (208с)/Инф Т. (204с)/Инф прог. (205c);Физическая культура (Спортзал С);Физическая культура (Спортзал С);Математика угл. (И1, 203с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);Математика угл. (И1, 203с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);Физика угл. (физлаб)/Инф прог. (205с)/Инф Т. (И2, 202с)/Инф Т. (И3, 201с);Физика угл. (физлаб)/Инф прог. (205с)/Инф Т. (И2, 202с)/Инф Т. (И3, 201с);;
Вторник;Литература (201с);;Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;Английский язык (И1, 201с)/Английский язык (И2, 104с);;Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;Практикум по прогр. (209с);
Среда;Литература (201с);;Русский язык (201с);ТОК (201с);Английский язык (И1, 201с)/Английский язык (И2, 104с);;Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;;
Четверг;Физическая культура (Спортзал Л);;;;;;;;;
Пятница;Физика угл. (201с)/ Инф прог. (205с);;Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;История (201с);;Английский язык (И1, 201с)/Английский язык (И2, 104с);;Практикум по прогр.2 (205с)/Инженерия (510с)/Общество ЕГЭ (201с)/Химия (301с)/Практикум по рогр.3 (208с);
Суббота;Практикум по прогр.1 (208c)/Компьютерная лингвистика (205с)/Практикум по физике (510с);;Русский язык (201с);История (201с);Физика угл. (203с)/Физика (201с);;;;;
