;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Общество соц. (405с);Общество соц. (405с);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Русский язык (405с);Русский язык (405с);Литература (405с);;;
Вторник;ТОК (405с);ТОК (405с);Английский язык (Э4, 405с)/Английский язык (Э3, 507с);Английский язык (Э4, 405с)/Английский язык (Э3, 507с);ИЭиЭМ (405с);ИЭиЭМ (405с);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 205c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 205c)/Математика угл. (Э4, 408c);Физика (408с)/Химия (409с);
Среда;Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Физическая культура (Спортзал С);Физическая культура (Спортзал С);Английский язык (Э4, 405с)/Английский язык (Э3, 507с);Английский язык (Э4, 405с)/Английский язык (Э3, 507с);Экономика база (Э, 506с)/Экономика проф. (Э1, 405с)/Экономика проф. (Э2, 408с)/Экономика проф. (Э3, 508с)/Экономика проф. (Э4, 409с)/Экономика проф. (Э5, 402с)/Экономика проф. (Э6, 205с)/Экономика проф. (Э7, 403с)/Экономика база (Э2, 209с);Экономика база (Э, 506с)/Экономика проф. (Э1, 405с)/Экономика проф. (Э2, 408с)/Экономика проф. (Э3, 508с)/Экономика проф. (Э4, 409с)/Экономика проф. (Э5, 402с)/Экономика проф. (Э6, 205с)/Экономика проф. (Э7, 403с)/Экономика база (Э2, 209с);Биология (508с);Биология (508с)
Четверг;;;;;;;;;;
Пятница;История (405с);История (405с);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Математика угл. (Э1, 404c)/Математика угл. (Э2, 405c)/Математика угл. (Э3, 209c)/Математика угл. (Э4, 408c);Литература (405с);Литература (405с);Экономика проф. (Э1, 308с)/Экономика проф. (Э2, 403с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 307с)/Экономика проф. (Э5, 303с)/Экономика проф. (Э6, 302с)/Экономика проф. (Э7, 304с);Экономика проф. (Э1, 308с)/Экономика проф. (Э2, 403с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 307с)/Экономика проф. (Э5, 303с)/Экономика проф. (Э6, 302с)/Экономика проф. (Э7, 304с)
Суббота;Общество соц. (405с);Общество соц. (405с);Английский язык (Э4, 405с)/Английский язык (Э3, 507с);Английский язык (Э4, 405с)/Английский язык (Э3, 507с);История (405с);;;;;
