;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Литература (307с);Литература (307с);Английский язык (Э1, 104с)/Английский язык (Э2, 307с);Английский язык (Э1, 104с)/Английский язык (Э2, 307с);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 404c);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 404c);ИЭиЭМ (307с);ИЭиЭМ (307с);Основы бизнеса (Э1, 307с)/Инф баз. (209с)/Основы бизнеса (Э2, 308с)/Психология (401с);Основы бизнеса (307с)/Инф баз. (209с)/Основы бизнеса (308с)/Психология (401с)
Вторник;Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 209c);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 209c);Английский язык (Э1, 401с)/Английский язык (Э2, 307с);Английский язык (Э1, 401с)/Английский язык (Э2, 307с);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 209c);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 209c);История (307с);История (307с);;
Среда;Психология (Э1, 402с)/Психология (Э2, 403с)/Физика (307с);Психология (Э1, 402с)/Психология (Э2, 403с)/Физика (307с);Английский язык (Э1, 404с)/Английский язык (Э2, 307с);Английский язык (Э1, 404с)/Английский язык (Э2, 307с);ТОК (307с);ТОК (307с);Общество соц. (307с);Общество соц. (307с);Экономика база (Э, 506с)/Экономика проф. (Э1, 405с)/Экономика проф. (Э2, 408с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 409с)/Экономика проф. (Э5, 402с)/Экономика проф. (Э6, 205с)/Экономика проф. (Э7, 403с);Экономика база (Э, 506с)/Экономика проф. (Э1, 405с)/Экономика проф. (Э2, 408с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 409с)/Экономика проф. (Э5, 402с)/Экономика проф. (Э6, 205с)/Экономика проф. (Э7, 403с)
Четверг;Физическая культура (Спортзал С);Физическая культура (Спортзал С);;;;;;;;
Пятница;Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 204c);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 204c);Русский язык (307с);Русский язык (307с);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 204c);Математика угл. (Э1, 307c)/Математика угл. (Э2, 401c)/Математика угл. (Э3, 308c)/Математика угл. (Э4, 204c);Экономика проф. (Э1, 308с)/Экономика проф. (Э2, 403с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 307с)/Экономика проф. (Э5, 303с)/Экономика проф. (Э6, 302с)/Экономика проф. (Э7, 304с);Экономика проф. (Э1, 308с)/Экономика проф. (Э2, 403с)/Экономика проф. (Э3, 401с)/Экономика проф. (Э4, 307с)/Экономика проф. (Э5, 303с)/Экономика проф. (Э6, 302с)/Экономика проф. (Э7, 304с);Инф баз. (209с);Инф баз. (209с)
Суббота;Общество соц. (307с);Общество соц. (307с);История (307с);Литература (307с);Физическая культура (Спортзал С);Физическая культура (Спортзал С);Физика (307с);Физика (307с);;
