;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Английский язык (Е1, 104c)/Английский язык (Е2, 504c)/Немецкий язык (105с)/Францизский язык (201с)/Испанский язык (402х) ;Английский язык (Е1, 104c)/Английский язык (Е2, 504c)/Немецкий язык (105с)/Францизский язык (201с)/Испанский язык (402х) ;Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 202с);Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 202с);География (105с)/Химия угл.3 (104с)/Химия угл.2 (506с)/Химия угл.1 (504с);География (105с)/Химия угл.3 (104с)/Химия угл.2 (506с)/Химия угл.1 (504с);Литература (504с);Литература (504с);Инф баз. (208c)/Oбщ баз. (302с);Инф баз. (208c)/Oбщ баз. (302с)
Вторник;Русский язык (504с);Русский язык (504с);ТОК (504с);ТОК (504с);Физическая культура (Спортзал С);Физическая культура (Спортзал С);Химия угл.2 (506с)/Химия угл.1 (504с)/Биология (204с);Химия угл.2 (506с)/Химия угл.1 (504с)/Биология (204с);Химия угл.3 (502с)/Физиология регуляторных систем (504с);Химия угл.3 (502с)/Физиология регуляторных систем (504с)
Среда;Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 205с);Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 205с);История (504с);История (504с);Физика (504с)/Физика угл. (физлаб)/Химия угл. (506с);Физика (504с)/Физика угл. (физлаб)/Химия угл. (506с);Английский язык (Е1, 504c)/Английский язык (Е2, 103c)/Немецкий язык (105с)/Францизский язык (510с)/Испанский язык (205х) ;Английский язык (Е1, 504c)/Английский язык (Е2, 103c)/Немецкий язык (105с)/Францизский язык (510с)/Испанский язык (205х) ;Основы биохимия (504с);Основы биохимия (504с)
Четверг;Физическая культура (Спортзал С);Физическая культура (Спортзал С);;;;;;;;
Пятница;Английский язык (Е1, 504c)/Английский язык (Е2, 103c)/Немецкий язык (105с)/Францизский язык (510с)/Испанский язык (302х) ;Английский язык (Е1, 504c)/Английский язык (Е2, 103c)/Немецкий язык (105с)/Францизский язык (510с)/Испанский язык (302х) ;Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 205с);Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 205с);География (506с)/Химия угл. (106с)/Генетика (504с);География (506с)/Химия угл. (106с)/Генетика (504с);Химия (504с)/Химия угл. (402с)/Физика (506с);Химия (504с)/Химия угл. (402с)/Физика (506с);Сравнительная А и ФЖ (504с);Сравнительная А и ФЖ (504с)
Суббота;Физика угл. (506с)/Микробиология (504с);Физика угл. (506с)/Микробиология (504с);Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 205с);Математика угл. (Е1, 506с)/Математика угл. (Е2, 504с)/Математика угл. (Е3, 205с);История (504с);Литература (504с);Экология (506с);Экология (506с);;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
