;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 403с);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 403с);География (105с)/Физика угл. (401с)/Химия угл.2 (106с)/Химия угл.3 (502с);География (105с)/Физика угл. (401с)/Химия угл.2 (106с)/Химия угл.3 (502с);Биология (103с)/Биология проф.2 (106с)/Биология проф.3 (502с);Биология (103с)/Биология проф.2 (106с)/Биология проф.3 (502с);Литература (502с);Литература (502с);Английский язык (Е1, 103c)/Английский язык (Е2, 106c);Английский язык (Е1, 103c)/Английский язык (Е2, 106c)
Вторник;Английский язык (Е1, 103c)/Английский язык (Е2, 106c);Английский язык (Е1, 103c)/Английский язык (Е2, 106c);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 205с);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 205с);Физика угл. (504с)/Химия угл.2 (106с)/Химия угл.3 (502с)/Химия (105с);Физика угл. (504с)/Химия угл.2 (106с)/Химия угл.3 (502с)/Химия (105с);Физика1 (502с)/Физика2 (106с)/Химия угл. (103с);Физика1 (502с)/Физика2 (106с)/Химия угл. (103с);;
Среда;История (502с);История (502с);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 303с);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 303с);Физическая культура (Спортзал С);Физическая культура (Спортзал С);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 301с);Математика угл. (Е1, 106с)/Математика угл. (Е3, 502с)/Математика угл. (Е2, 301с);Экология (502с)/Общество ЕГЭ (106с);Экология (502с)/Общество ЕГЭ (106с)
Четверг;Физическая культура (Спортзал Л);Физическая культура (Спортзал Л);;;;;;;;
Пятница;География (209с)/Химия угл. (106с)/Биология проф.2 (502с)/Биология проф.1 (403с);География (209с)/Химия угл. (106с)/Биология проф.2 (502с)/Биология проф.1 (403с);Английский язык (Е1, 103c)/Английский язык (Е2, 507c);Английский язык (Е1, 103c)/Английский язык (Е2, 507c);ТОК (502с);ТОК (502с);Русский язык (502с);Русский язык (502с);Общество ЕГЭ (201с);Общество ЕГЭ (201с)
Суббота;Литература (502с);История (502с);Инф баз. (208с);Инф баз. (208с);;;;;;
