;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Инф баз. (208с)/Инф Т. (204с)/Инф прог. (205c);;Английский язык (И3, 505с)/Английский язык (И4, 103с);;Математика угл. (И1, 203с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;Физика угл. (физлаб)/Инф прог. (205с)/Инф Т. (И2, 202с)/Инф Т. (И3, 201с);;;
Вторник;;Русский язык (202с);Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;Английский язык (И3, 505с)/Английский язык (И4, 103с);;Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;Практикум по прогр. (209с);
Среда;Физическая культура (Спортзал С);;ТОК (202с);Литература (202с);Русский язык (202с);Литература (202с);Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;;
Четверг;;;;;;;;;;
Пятница;Физика угл. (201с)/ Инф прог. (205с);;Математика угл. (И1, 208с)/Математика угл. (И2, 201с)/Математика угл. (И3, 202с);;Английский язык (И3, 505с)/Английский язык (И4, 103с);;История (202с);;Практикум по прогр.2 (205с)/Инженерия (510с)/Общество ЕГЭ (201с)/Химия (301с)/Практикум по рогр.3 (208с);
Суббота;Практикум по прогр.1 (208c)/Компьютерная лингвистика (205с)/Практикум по физике (510с);;История (202с);Литература (202с);Физика угл. (203с)/Физика (201с);;;;;
