;9:00-9:40;9:45-10:25;10:45-11:25;11:30-12:10;12:20-13:00;13:05-13:45;14:45-15:25;15:30-16:10;16:20-17:00;17:05-17:45
Понедельник;Физика угл.(510с)/Физика(302с);Физика угл.(510с)/Физика(302с);Математика угл.(И1, 302с)/Математика угл.(И2, 203с)/Математика угл.(И3, 303с);Математика угл.(И1, 302с)/Математика угл.(И2, 203с)/Математика угл.(И3, 303с);Инф баз.(И1, 208с)/Инф ПК(И1, 204с)/Инф Т.(И2, 303с)/Инф Т.(И3, 302с);Инф баз.(208с)/Инф ПК(204с)/Инф Т(303с)/Инф Т(302с);Математика угл.(И1, 302с)/Математика угл.(И2, 301с)/Математика угл.(И3, 303с);Математика угл.(И1, 302с)/Математика угл.(И2, 301с)/Математика угл.(И3, 303с);Практикум по прогр.(205с)/Компьютерная лингвистика(204с)/Общ. Баз.(302с);Практикум по прогр.(205с)/Компьютерная лингвистика(204с)/Общ. Баз.(302с)
Вторник;Русский язык(302с);Русский язык(302с);Английский язык(И1, 104с)/Английский язык(И2, 302с);Английский язык(И1, 104с)/Английский язык(И2, 302с);ТОК(302с);Литература(302с);Математика угл.(И1, 302с)/Математика угл.(И2, 304с)/Математика угл.(И3, 303с);Математика угл.(И1, 302с)/Математика угл.(И2, 304с)/Математика угл.(И3, 303с);Практикум по прогр.(205с);Практикум по прогр.(205с)
Среда;Литература(302с);Литература(302с);Физика угл.(И1, 302с)/Информатика Прог.(И1, 209с)/Информатика Прог.(И2, 205с)/Информатика Прог.(И3, 208с);Физика угл.(И1, 302с)/Информатика Прог.(И1, 209с)/Информатика Прог.(И2, 205с)/Информатика Прог.(И3, 208с);Математика угл.(И1, 302с)/Математика угл.(И2, 106с)/Математика угл.(И3, 303с);Математика угл.(И1, 302с)/Математика угл.(И2, 106с)/Математика угл.(И3, 303с);Английский язык(И1, 104с)/Английский язык(И2, 302с);Английский язык(И1, 104с)/Английский язык(И2, 302с);;
Четверг;Факультетский день;;;;;;;;;
Пятница;История (302с);История (302с);Математика угл.(И1, 302с)/Математика угл.(И2, 204с)/Математика угл.(И3, 303с);Математика угл.(И1, 302с)/Математика угл.(И2, 204с)/Математика угл.(И3, 303с);Английский язык(И1, 104с)/Английский язык(И2, 302с);Английский язык(И1, 104с)/Английский язык(И2, 302с);Практикум по прогр.(И1, 205с)/Практикум по прогр.(И4, 208с)/Инженерия(510с)/Химия(504с);Практикум по прогр.(И1, 205с)/Практикум по прогр.(И4, 208с)/Инженерия(510с)/Химия(504с);;
Суббота;Физическая культура(Спортзал С);Физическая культура(Спортзал С);Физика угл.(И1, 302с)/Информатика Т.(И1, 209с)/Информатика ПК(И2, 204с);Физика угл.(И1, 302с)/Информатика Т.(И1, 209с)/Информатика ПК(И2, 204с);Практикум по физике(510с);Практикум по физике(510с);;;;
